HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	MAX	MIN	{DYNPARAM} Visibility1	VOLTS	DROP	DIFF	DIST
'721B655	Fault_Currents	_Fault Currents	R9998	<>	<>	<>	1102	165	Wipeout ON	<>	<>	<>	<>
'721B678	Load_Currents	_Currents	R6353	C3.3			<>	<>	<>	<>	<>	<>	<>
'721B697	Fault_Currents	_Fault Currents	R6353	<>	<>	<>	592	149	Wipeout ON	<>	<>	<>	<>
'722618B	Load_Currents	_Currents	R9999	A12.7	B23.7	C13.8	<>	<>	<>	<>	<>	<>	<>
'72261AA	Fault_Currents	_Fault Currents	R9999	<>	<>	<>	1040	164	Wipeout ON	<>	<>	<>	<>
'72261CD	Voltage_Box	_Voltages	PC133108	<>	<>	<>	<>	<>	Wipeout On	122.7	3.3	2.9	5.1
'72261FC	Load_Currents	_Currents	R18453	C30.6			<>	<>	<>	<>	<>	<>	<>
'722621B	Fault_Currents	_Fault Currents	R18453	<>	<>	<>	356	129	Wipeout ON	<>	<>	<>	<>
'722623E	Load_Currents	_Currents	R3	A7.9			<>	<>	<>	<>	<>	<>	<>
'722625D	Fault_Currents	_Fault Currents	R3	<>	<>	<>	382	133	Wipeout ON	<>	<>	<>	<>
'7226280	Load_Currents	_Currents	R18454	A8.6	B4.7		<>	<>	<>	<>	<>	<>	<>
'722629F	Fault_Currents	_Fault Currents	R18454	<>	<>	<>	456	135	Wipeout ON	<>	<>	<>	<>
'72262C2	Voltage_Box	_Voltages	RG01811	<>	<>	<>	<>	<>	Wipeout On	115.5	10.5	-	8.0
'72262F1	Load_Currents	_Currents	R10000	B7.3			<>	<>	<>	<>	<>	<>	<>
'7226310	Fault_Currents	_Fault Currents	R10000	<>	<>	<>	551	152	Wipeout ON	<>	<>	<>	<>
'7226333	Load_Currents	_Currents	R10	A11.3	B10.4	C10.7	<>	<>	<>	<>	<>	<>	<>
'7226352	Fault_Currents	_Fault Currents	R10	<>	<>	<>	708	153	Wipeout ON	<>	<>	<>	<>
'722637F	Load_Currents	_Currents	R10	A11.3	B10.4	C10.7	<>	<>	<>	<>	<>	<>	<>
'722639E	Fault_Currents	_Fault Currents	R10001	<>	<>	<>	438	130	Wipeout ON	<>	<>	<>	<>
'72263EC	Fault_Currents	_Fault Currents	PC11617	<>	<>	<>	520	137	Wipeout ON	<>	<>	<>	<>
'7226405	Voltage_Box	_Voltages	PC11617	<>	<>	<>	<>	<>	Wipeout On	123.7	3.4	3.4	7.2
'722642A	Fault_Currents	_Fault Currents	PC16598	<>	<>	<>	309	121	Wipeout ON	<>	<>	<>	<>
'7226443	Voltage_Box	_Voltages	PC16598	<>	<>	<>	<>	<>	Wipeout On	121.0	6.4	6.4	8.4
'7226468	Fault_Currents	_Fault Currents	PC16712	<>	<>	<>	340	125	Wipeout ON	<>	<>	<>	<>
'7226481	Voltage_Box	_Voltages	PC16712	<>	<>	<>	<>	<>	Wipeout On	121.4	4.6	4.6	7.9
'72264A6	Fault_Currents	_Fault Currents	PC16832	<>	<>	<>	341	127	Wipeout ON	<>	<>	<>	<>
'72264BF	Voltage_Box	_Voltages	PC16832	<>	<>	<>	<>	<>	Wipeout On	123.8	5.9	5.9	8.9
'72264E4	Fault_Currents	_Fault Currents	PC41688	<>	<>	<>	376	125	Wipeout ON	<>	<>	<>	<>
'72264FD	Voltage_Box	_Voltages	PC147774	<>	<>	<>	<>	<>	Wipeout On	124.0	7.2	7.2	14.1
'7226522	Fault_Currents	_Fault Currents	PC147783	<>	<>	<>	398	130	Wipeout ON	<>	<>	<>	<>
'722653B	Voltage_Box	_Voltages	PC147783	<>	<>	<>	<>	<>	Wipeout On	124.7	1.3	1.3	5.8
'7226560	Fault_Currents	_Fault Currents	PC40722	<>	<>	<>	232	109	Wipeout ON	<>	<>	<>	<>
'7226579	Voltage_Box	_Voltages	PC40722	<>	<>	<>	<>	<>	Wipeout On	123.6	5.3	5.1	12.8
'72265A6	Fault_Currents	_Fault Currents	PC40209	<>	<>	<>	187	98	Wipeout ON	<>	<>	<>	<>
