HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	MAX	MIN	{DYNPARAM} Visibility1	VOLTS	DROP	DIFF	DIST
'7F975F8	Fault_Currents	_Fault Currents	PC14276	<>	<>	<>	0	15	Wipeout ON	<>	<>	<>	<>
'7F97635	Fault_Currents	_Fault Currents	PC32863	<>	<>	<>	0	17	Wipeout ON	<>	<>	<>	<>
'7F9764E	Fault_Currents	_Fault Currents	PC38649	<>	<>	<>	0	20	Wipeout ON	<>	<>	<>	<>
'7F9768B	Fault_Currents	_Fault Currents	PC38313	<>	<>	<>	0	14	Wipeout ON	<>	<>	<>	<>
'7F976A4	Fault_Currents	_Fault Currents	PC115594	<>	<>	<>	0	16	Wipeout ON	<>	<>	<>	<>
'7F977BB	Fault_Currents	_Fault Currents	PC11955	<>	<>	<>	0	11	Wipeout ON	<>	<>	<>	<>
'7F977D4	Fault_Currents	_Fault Currents	PC76789	<>	<>	<>	0	10	Wipeout ON	<>	<>	<>	<>
'7F9783D	Fault_Currents	_Fault Currents	PC49360	<>	<>	<>	0	12	Wipeout ON	<>	<>	<>	<>
'7F9785A	Fault_Currents	_Fault Currents	PC42362	<>	<>	<>	-0	5	Wipeout ON	<>	<>	<>	<>
'7F97873	Fault_Currents	_Fault Currents	PC52523	<>	<>	<>	0	9	Wipeout ON	<>	<>	<>	<>
'7F9791C	Fault_Currents	_Fault Currents	PC13964	<>	<>	<>	0	7	Wipeout ON	<>	<>	<>	<>
'7F97935	Fault_Currents	_Fault Currents	PC110190	<>	<>	<>	0	2	Wipeout ON	<>	<>	<>	<>
'7F97972	Fault_Currents	_Fault Currents	PC112684	<>	<>	<>	0	4	Wipeout ON	<>	<>	<>	<>
'7F979AF	Fault_Currents	_Fault Currents	PC76333	<>	<>	<>	0	13	Wipeout ON	<>	<>	<>	<>
'7F979EC	Fault_Currents	_Fault Currents	PC42085	<>	<>	<>	0	11	Wipeout ON	<>	<>	<>	<>
