HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST	{DYNPARAM} Visibility1	MAX	MIN
'7106C85	Fault_Currents	_Fault Currents	OCR_C44-2/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	867	166
'7106C8A	Fault_Currents	_Fault Currents	OCR_D18-4-29/61.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1098	165
'7106C8F	Fault_Currents	_Fault Currents	OCR_D18-4/17.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	885	166
'7106C94	Fault_Currents	_Fault Currents	OCR_D32/21.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1332	169
'7106C9E	Fault_Currents	_Fault Currents	OCR_D34-145/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	666	153
'7106CA3	Fault_Currents	_Fault Currents	span_11982	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	236	110
'7106CA8	Fault_Currents	_Fault Currents	span_40720	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	217	111
'7106CAD	Fault_Currents	_Fault Currents	span_8564	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	474	138
'7106CB2	Fault_Currents	_Fault Currents	OCR_D45-1/62.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	875	160
'7106CB7	Fault_Currents	_Fault Currents	OCR_D32/17.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1332	169
'7106CBC	Fault_Currents	_Fault Currents	OCR_D/307.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	917	165
'7106CC1	Fault_Currents	_Fault Currents	span_43386	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	728	157
'7106CC6	Fault_Currents	_Fault Currents	OCR_G/213	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1312	169
'7106CCB	Fault_Currents	_Fault Currents	OCR_C37/0.25	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	494	153
'7106CD0	Fault_Currents	_Fault Currents	span_58760	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	330	130
'7106CD5	Fault_Currents	_Fault Currents	OCR_D45-2-2/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	409	140
'7106CDA	Fault_Currents	_Fault Currents	OCR_D45-2/9.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	409	140
'7106CE4	Fault_Currents	_Fault Currents	OCR_D45-8/2.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	468	147
'7106CE9	Fault_Currents	_Fault Currents	OCR_D45-4-13/10	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	455	146
'7106CEE	Fault_Currents	_Fault Currents	span_54392	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	466	147
'7106CF3	Fault_Currents	_Fault Currents	OCR_D34/19.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1264	166
'7106CF8	Fault_Currents	_Fault Currents	OCR_D/347.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	871	163
'7106CFD	Fault_Currents	_Fault Currents	OCR_D/222	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1242	166
