HANDLE	BLOCKNAME	LAYER	DEVICE	MAX	MIN	{DYNPARAM} Visibility1	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST
'70DBD7E	Load_Currents	_Currents	over_1394	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DBDB8	Load_Currents	_Currents	16-19-13	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DBE0A	Fault_Currents	_Fault Currents	over_1394	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DBE5C	Fault_Currents	_Fault Currents	16-19-13	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DC132	Load_Currents	_Currents	over_1389	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DC16C	Load_Currents	_Currents	16-28-66	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DC1BE	Fault_Currents	_Fault Currents	16-28-66	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DC210	Fault_Currents	_Fault Currents	over_1389	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DC254	Load_Currents	_Currents	16-27-89	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DC2A6	Fault_Currents	_Fault Currents	16-27-89	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DC32C	Voltage_Box	_Voltages	span_62910	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DC3A8	Voltage_Box	_Voltages	span_62910	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DC402	Load_Currents	_Currents	16-26-68	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DC454	Fault_Currents	_Fault Currents	16-26-68	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DC498	Load_Currents	_Currents	16-35-03	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DC4EA	Fault_Currents	_Fault Currents	16-35-03	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DC7DE	Load_Currents	_Currents	16-25-66 A	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DC83A	Fault_Currents	_Fault Currents	16-25-66 A	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DC874	Load_Currents	_Currents	16-25-61	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DC8C6	Fault_Currents	_Fault Currents	16-25-61	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DC90A	Load_Currents	_Currents	17-31-57	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DC95C	Fault_Currents	_Fault Currents	17-31-57	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DC9A2	Load_Currents	_Currents	17-32-42	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DC9F4	Fault_Currents	_Fault Currents	17-32-42	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DCA38	Load_Currents	_Currents	17-18	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DCA8A	Fault_Currents	_Fault Currents	17-18	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DCACE	Load_Currents	_Currents	span_87054	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DCB20	Fault_Currents	_Fault Currents	span_87054	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DCB78	Load_Currents	_Currents	17-04-52	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DCBCA	Fault_Currents	_Fault Currents	17-04-52	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DCC04	Load_Currents	_Currents	17-09-42	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DCC58	Fault_Currents	_Fault Currents	17-09-42	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DCC92	Load_Currents	_Currents	17-08-41	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DCCE4	Fault_Currents	_Fault Currents	17-08-41	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DCD32	Load_Currents	_Currents	over_4356	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DCD84	Fault_Currents	_Fault Currents	over_4356	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DD0A0	Load_Currents	_Currents	22-12-29	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DD0EF	Load_Currents	_Currents	17-02-64	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DD17B	Fault_Currents	_Fault Currents	17-02-64	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DD1D3	Load_Currents	_Currents	12-31-31	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DD225	Fault_Currents	_Fault Currents	12-31-31	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DD25F	Load_Currents	_Currents	12-31-311	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DD2B1	Fault_Currents	_Fault Currents	12-31-311	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DD416	Fault_Currents	_Fault Currents	18-05-39A	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DD450	Load_Currents	_Currents	18-05-39A	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DD48C	Load_Currents	_Currents	18-04-25	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DD4DE	Fault_Currents	_Fault Currents	18-04-25	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DD554	Load_Currents	_Currents	17-23-57	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DD56E	Fault_Currents	_Fault Currents	17-23-57	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DD5B2	Load_Currents	_Currents	17-24-40	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DD604	Fault_Currents	_Fault Currents	17-24-40	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DD649	Load_Currents	_Currents	18-18-56	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DD69D	Fault_Currents	_Fault Currents	18-18-56	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DD6E2	Load_Currents	_Currents	18-08-06	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DD734	Fault_Currents	_Fault Currents	18-08-06	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DD778	Load_Currents	_Currents	span_44582	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
